ODMR measurement
Date: 2020_07_30, 16:51
ODMR settings:
Minimum [MHz]: 2600.000000 
Maximum [MHz]: 3000.000000 
Step [MHz]: 5.000000 
Repeat [#]: 4 
Sequence: [(['Laser'], 300), ([], 800), (['Mw'], 100), ([], 300)] 
Cam settings:
Hardware AOI: [0, 0, 1280, 1024] 
Software AOI: [766, 865, 75, 67] 
Pixelclock [MHz]: 10.000000 
Exposure [ms]: 100.000000 
Voltage [V];Frequency [MHz];Intensity [count]; Average Intensity [count]
0.129661579297;2600.0;2070387.0;2079465.0
0.129661579297;2600.0;2081084.0;2079465.0
0.129661579297;2600.0;2080891.0;2079465.0
0.129661579297;2600.0;2085498.0;2079465.0
0.162840079628;2605.0;2090041.0;2078680.5
0.162840079628;2605.0;2084735.0;2078680.5
0.162840079628;2605.0;2088120.0;2078680.5
0.162840079628;2605.0;2051826.0;2078680.5
0.19601857996;2610.0;2079869.0;2085787.75
0.19601857996;2610.0;2093820.0;2085787.75
0.19601857996;2610.0;2094709.0;2085787.75
0.19601857996;2610.0;2074753.0;2085787.75
0.237931034483;2615.0;2067693.0;2062565.0
0.237931034483;2615.0;2068154.0;2062565.0
0.237931034483;2615.0;2054780.0;2062565.0
0.237931034483;2615.0;2059633.0;2062565.0
0.281034482759;2620.0;2046842.0;2059924.25
0.281034482759;2620.0;2064812.0;2059924.25
0.281034482759;2620.0;2060855.0;2059924.25
0.281034482759;2620.0;2067188.0;2059924.25
0.324844720497;2625.0;2054837.0;2074503.5
0.324844720497;2625.0;2089334.0;2074503.5
0.324844720497;2625.0;2087100.0;2074503.5
0.324844720497;2625.0;2066743.0;2074503.5
0.369210292813;2630.0;2033776.0;2054693.5
0.369210292813;2630.0;2052409.0;2054693.5
0.369210292813;2630.0;2071103.0;2054693.5
0.369210292813;2630.0;2061486.0;2054693.5
0.41393442623;2635.0;2054957.0;2052611.75
0.41393442623;2635.0;2028137.0;2052611.75
0.41393442623;2635.0;2052409.0;2052611.75
0.41393442623;2635.0;2074944.0;2052611.75
0.459471766849;2640.0;2058483.0;2060781.5
0.459471766849;2640.0;2067173.0;2060781.5
0.459471766849;2640.0;2039660.0;2060781.5
0.459471766849;2640.0;2077810.0;2060781.5
0.505135387488;2645.0;2045300.0;2048868.75
0.505135387488;2645.0;2064251.0;2048868.75
0.505135387488;2645.0;2031471.0;2048868.75
0.505135387488;2645.0;2054453.0;2048868.75
0.551820728291;2650.0;2037489.0;2041858.25
0.551820728291;2650.0;2039218.0;2041858.25
0.551820728291;2650.0;2031661.0;2041858.25
0.551820728291;2650.0;2059065.0;2041858.25
0.598506069094;2655.0;2052086.0;2044272.5
0.598506069094;2655.0;2055986.0;2044272.5
0.598506069094;2655.0;2037993.0;2044272.5
0.598506069094;2655.0;2031025.0;2044272.5
0.645920303605;2660.0;2049720.0;2037044.25
0.645920303605;2660.0;2032629.0;2037044.25
0.645920303605;2660.0;2028848.0;2037044.25
0.645920303605;2660.0;2036980.0;2037044.25
0.693358633776;2665.0;2061947.0;2051026.5
0.693358633776;2665.0;2045357.0;2051026.5
0.693358633776;2665.0;2046449.0;2051026.5
0.693358633776;2665.0;2050353.0;2051026.5
0.741465766635;2670.0;2067962.0;2060722.5
0.741465766635;2670.0;2055984.0;2060722.5
0.741465766635;2670.0;2041585.0;2060722.5
0.741465766635;2670.0;2077359.0;2060722.5
0.789681774349;2675.0;2053554.0;2044835.0
0.789681774349;2675.0;2066804.0;2044835.0
0.789681774349;2675.0;2019184.0;2044835.0
0.789681774349;2675.0;2039798.0;2044835.0
0.838529411765;2680.0;2049328.0;2050272.25
0.838529411765;2680.0;2058986.0;2050272.25
0.838529411765;2680.0;2049018.0;2050272.25
0.838529411765;2680.0;2043757.0;2050272.25
0.887549019608;2685.0;2034223.0;2054368.0
0.887549019608;2685.0;2074357.0;2054368.0
0.887549019608;2685.0;2056558.0;2054368.0
0.887549019608;2685.0;2052334.0;2054368.0
0.936967294351;2690.0;2057327.0;2058689.5
0.936967294351;2690.0;2072948.0;2058689.5
0.936967294351;2690.0;2046127.0;2058689.5
0.936967294351;2690.0;2058356.0;2058689.5
0.986521308226;2695.0;2036026.0;2038776.0
0.986521308226;2695.0;2041268.0;2038776.0
0.986521308226;2695.0;2058494.0;2038776.0
0.986521308226;2695.0;2019316.0;2038776.0
1.0363818091;2700.0;2055661.0;2043998.5
1.0363818091;2700.0;2032554.0;2043998.5
1.0363818091;2700.0;2032437.0;2043998.5
1.0363818091;2700.0;2055342.0;2043998.5
1.08635682159;2705.0;2041777.0;2052850.0
1.08635682159;2705.0;2054838.0;2052850.0
1.08635682159;2705.0;2059056.0;2052850.0
1.08635682159;2705.0;2055729.0;2052850.0
1.13681012658;2710.0;2055736.0;2037813.25
1.13681012658;2710.0;2028856.0;2037813.25
1.13681012658;2710.0;2027888.0;2037813.25
1.13681012658;2710.0;2038773.0;2037813.25
1.18744303797;2715.0;2045106.0;2051445.5
1.18744303797;2715.0;2043893.0;2051445.5
1.18744303797;2715.0;2061496.0;2051445.5
1.18744303797;2715.0;2055287.0;2051445.5
1.23872296601;2720.0;2057841.0;2060627.75
1.23872296601;2720.0;2060219.0;2060627.75
1.23872296601;2720.0;2063285.0;2060627.75
1.23872296601;2720.0;2061166.0;2060627.75
1.29021627188;2725.0;2076218.0;2064469.75
1.29021627188;2725.0;2057904.0;2064469.75
1.29021627188;2725.0;2073654.0;2064469.75
1.29021627188;2725.0;2050103.0;2064469.75
1.3420997921;2730.0;2065529.0;2055378.25
1.3420997921;2730.0;2057202.0;2055378.25
1.3420997921;2730.0;2049837.0;2055378.25
1.3420997921;2730.0;2048945.0;2055378.25
1.39407484407;2735.0;2054577.0;2053090.5
1.39407484407;2735.0;2069368.0;2053090.5
1.39407484407;2735.0;2032425.0;2053090.5
1.39407484407;2735.0;2055992.0;2053090.5
1.44638743455;2740.0;2043946.0;2049915.0
1.44638743455;2740.0;2052646.0;2049915.0
1.44638743455;2740.0;2071793.0;2049915.0
1.44638743455;2740.0;2031275.0;2049915.0
1.4987434555;2745.0;2010729.0;2046398.75
1.4987434555;2745.0;2070257.0;2046398.75
1.4987434555;2745.0;2069933.0;2046398.75
1.4987434555;2745.0;2034676.0;2046398.75
1.55180467091;2750.0;2031147.0;2037361.0
1.55180467091;2750.0;2055157.0;2037361.0
1.55180467091;2750.0;2028853.0;2037361.0
1.55180467091;2750.0;2034287.0;2037361.0
1.60493033226;2755.0;2053362.0;2044798.75
1.60493033226;2755.0;2039405.0;2044798.75
1.60493033226;2755.0;2058351.0;2044798.75
1.60493033226;2755.0;2028077.0;2044798.75
1.65852090032;2760.0;2020075.0;2026060.5
1.65852090032;2760.0;2021483.0;2026060.5
1.65852090032;2760.0;2047218.0;2026060.5
1.65852090032;2760.0;2015466.0;2026060.5
1.7120212766;2765.0;2026029.0;2027859.0
1.7120212766;2765.0;2032568.0;2027859.0
1.7120212766;2765.0;2023023.0;2027859.0
1.7120212766;2765.0;2029816.0;2027859.0
1.76521276596;2770.0;2008496.0;2020256.25
1.76521276596;2770.0;2045170.0;2020256.25
1.76521276596;2770.0;1997683.0;2020256.25
1.76521276596;2770.0;2029676.0;2020256.25
1.81840425532;2775.0;2034351.0;2032222.5
1.81840425532;2775.0;2045745.0;2032222.5
1.81840425532;2775.0;2030514.0;2032222.5
1.81840425532;2775.0;2018280.0;2032222.5
1.87159574468;2780.0;2009326.0;2007707.25
1.87159574468;2780.0;1986668.0;2007707.25
1.87159574468;2780.0;2007788.0;2007707.25
1.87159574468;2780.0;2027047.0;2007707.25
1.925;2785.0;2021742.0;2010962.5
1.925;2785.0;2010033.0;2010962.5
1.925;2785.0;2008310.0;2010962.5
1.925;2785.0;2003765.0;2010962.5
1.97864806867;2790.0;1986667.0;1981881.25
1.97864806867;2790.0;1980206.0;1981881.25
1.97864806867;2790.0;1981161.0;1981881.25
1.97864806867;2790.0;1979491.0;1981881.25
2.03240043057;2795.0;1988328.0;1976966.0
2.03240043057;2795.0;1963169.0;1976966.0
2.03240043057;2795.0;1970669.0;1976966.0
2.03240043057;2795.0;1985698.0;1976966.0
2.08622174381;2800.0;1938660.0;1939590.75
2.08622174381;2800.0;1929192.0;1939590.75
2.08622174381;2800.0;1958698.0;1939590.75
2.08622174381;2800.0;1931813.0;1939590.75
2.14017278618;2805.0;1899300.0;1907105.25
2.14017278618;2805.0;1914534.0;1907105.25
2.14017278618;2805.0;1895836.0;1907105.25
2.14017278618;2805.0;1918751.0;1907105.25
2.19416846652;2810.0;1825491.0;1848487.5
2.19416846652;2810.0;1855767.0;1848487.5
2.19416846652;2810.0;1851101.0;1848487.5
2.19416846652;2810.0;1861591.0;1848487.5
2.24806034483;2815.0;1829210.0;1833449.0
2.24806034483;2815.0;1838680.0;1833449.0
2.24806034483;2815.0;1839580.0;1833449.0
2.24806034483;2815.0;1826326.0;1833449.0
2.30196078431;2820.0;1816919.0;1836775.75
2.30196078431;2820.0;1835160.0;1836775.75
2.30196078431;2820.0;1846552.0;1836775.75
2.30196078431;2820.0;1848472.0;1836775.75
2.35642701525;2825.0;1844828.0;1843931.25
2.35642701525;2825.0;1845215.0;1843931.25
2.35642701525;2825.0;1847067.0;1843931.25
2.35642701525;2825.0;1838615.0;1843931.25
2.41089324619;2830.0;1858326.0;1872762.5
2.41089324619;2830.0;1910117.0;1872762.5
2.41089324619;2830.0;1849562.0;1872762.5
2.41089324619;2830.0;1873045.0;1872762.5
2.46535947712;2835.0;1902182.0;1897296.0
2.46535947712;2835.0;1879837.0;1897296.0
2.46535947712;2835.0;1899867.0;1897296.0
2.46535947712;2835.0;1907298.0;1897296.0
2.51973969631;2840.0;1915488.0;1921796.5
2.51973969631;2840.0;1914280.0;1921796.5
2.51973969631;2840.0;1912743.0;1921796.5
2.51973969631;2840.0;1944675.0;1921796.5
2.57396963124;2845.0;1925927.0;1915909.25
2.57396963124;2845.0;1914984.0;1915909.25
2.57396963124;2845.0;1918946.0;1915909.25
2.57396963124;2845.0;1903780.0;1915909.25
2.62816901408;2850.0;1869473.0;1888674.25
2.62816901408;2850.0;1895146.0;1888674.25
2.62816901408;2850.0;1879326.0;1888674.25
2.62816901408;2850.0;1910752.0;1888674.25
2.68234019502;2855.0;1858141.0;1844059.25
2.68234019502;2855.0;1825756.0;1844059.25
2.68234019502;2855.0;1847515.0;1844059.25
2.68234019502;2855.0;1844825.0;1844059.25
2.73679039301;2860.0;1754958.0;1763169.0
2.73679039301;2860.0;1799447.0;1763169.0
2.73679039301;2860.0;1744653.0;1763169.0
2.73679039301;2860.0;1753618.0;1763169.0
2.79137554585;2865.0;1689997.0;1701179.75
2.79137554585;2865.0;1718415.0;1701179.75
2.79137554585;2865.0;1694024.0;1701179.75
2.79137554585;2865.0;1702283.0;1701179.75
2.84576086957;2870.0;1680003.0;1684280.5
2.84576086957;2870.0;1700870.0;1684280.5
2.84576086957;2870.0;1675404.0;1684280.5
2.84576086957;2870.0;1680845.0;1684280.5
2.90010928962;2875.0;1710158.0;1718060.5
2.90010928962;2875.0;1729357.0;1718060.5
2.90010928962;2875.0;1728522.0;1718060.5
2.90010928962;2875.0;1704205.0;1718060.5
2.95475409836;2880.0;1680968.0;1695958.75
2.95475409836;2880.0;1718536.0;1695958.75
2.95475409836;2880.0;1685443.0;1695958.75
2.95475409836;2880.0;1698888.0;1695958.75
3.0093989071;2885.0;1728778.0;1719661.0
3.0093989071;2885.0;1713047.0;1719661.0
3.0093989071;2885.0;1716425.0;1719661.0
3.0093989071;2885.0;1720394.0;1719661.0
3.06404371585;2890.0;1769168.0;1791681.25
3.06404371585;2890.0;1796368.0;1791681.25
3.06404371585;2890.0;1816596.0;1791681.25
3.06404371585;2890.0;1784593.0;1791681.25
3.11908482143;2895.0;1896090.0;1886621.0
3.11908482143;2895.0;1865502.0;1886621.0
3.11908482143;2895.0;1906335.0;1886621.0
3.11908482143;2895.0;1878557.0;1886621.0
3.17488839286;2900.0;1925472.0;1930386.5
3.17488839286;2900.0;1908063.0;1930386.5
3.17488839286;2900.0;1942628.0;1930386.5
3.17488839286;2900.0;1945383.0;1930386.5
3.23121452894;2905.0;1930980.0;1948980.5
3.23121452894;2905.0;1961767.0;1948980.5
3.23121452894;2905.0;1957030.0;1948980.5
3.23121452894;2905.0;1946145.0;1948980.5
3.28796821793;2910.0;1956968.0;1936885.0
3.28796821793;2910.0;1924958.0;1936885.0
3.28796821793;2910.0;1927784.0;1936885.0
3.28796821793;2910.0;1937830.0;1936885.0
3.34497716895;2915.0;1914204.0;1908831.5
3.34497716895;2915.0;1904805.0;1908831.5
3.34497716895;2915.0;1915041.0;1908831.5
3.34497716895;2915.0;1901276.0;1908831.5
3.4020979021;2920.0;1879195.0;1877629.75
3.4020979021;2920.0;1858265.0;1877629.75
3.4020979021;2920.0;1898851.0;1877629.75
3.4020979021;2920.0;1874208.0;1877629.75
3.46037296037;2925.0;1834463.0;1853612.0
3.46037296037;2925.0;1897819.0;1853612.0
3.46037296037;2925.0;1851163.0;1853612.0
3.46037296037;2925.0;1831003.0;1853612.0
3.51909307876;2930.0;1828059.0;1845757.0
3.51909307876;2930.0;1858012.0;1845757.0
3.51909307876;2930.0;1857820.0;1845757.0
3.51909307876;2930.0;1839137.0;1845757.0
3.57875894988;2935.0;1869797.0;1842781.75
3.57875894988;2935.0;1833439.0;1842781.75
3.57875894988;2935.0;1823512.0;1842781.75
3.57875894988;2935.0;1844379.0;1842781.75
3.6394124847;2940.0;1910432.0;1905729.75
3.6394124847;2940.0;1883369.0;1905729.75
3.6394124847;2940.0;1899100.0;1905729.75
3.6394124847;2940.0;1930018.0;1905729.75
3.70063051702;2945.0;1953567.0;1938356.25
3.70063051702;2945.0;1958062.0;1938356.25
3.70063051702;2945.0;1930081.0;1938356.25
3.70063051702;2945.0;1911715.0;1938356.25
3.76368221942;2950.0;1999020.0;1987834.0
3.76368221942;2950.0;1988524.0;1987834.0
3.76368221942;2950.0;1985837.0;1987834.0
