Rabi measurement
Date: 2020_07_30, 17:18
Rabi settings:
Minimum [ns]: 0.000000 
Maximum [ns]: 80.000000 
Step [ns]: 5.000000 
Sequence: [(['Laser'], 1500), ([], 1000-t), (['Mw'], 2.5), ([], t), (['Mw'], 2.5), ([], 300)] 
Repeat [#]: 8 
Freq [MHz]: 2815.000000 
Cam settings:
Hardware AOI: [0, 0, 1280, 1024] 
Software AOI: [766, 865, 75, 67] 
Pixelclock [MHz]: 10.000000 
Exposure [ms]: 100.000000 
Time [ns];Intensity [count]; Average Intensity [count]
0.0;29728902.0;21706144.25
0.0;28896378.0;21706144.25
0.0;30037524.0;21706144.25
0.0;22655245.0;21706144.25
0.0;26110883.0;21706144.25
0.0;161088.0;21706144.25
0.0;5663857.0;21706144.25
0.0;30395277.0;21706144.25
4.5;30452395.0;18419092.125
4.5;857101.0;18419092.125
4.5;29375079.0;18419092.125
4.5;25515304.0;18419092.125
4.5;4088058.0;18419092.125
4.5;3979044.0;18419092.125
4.5;22707983.0;18419092.125
4.5;30377773.0;18419092.125
9.0;30212410.0;22001086.25
9.0;30147730.0;22001086.25
9.0;30265154.0;22001086.25
9.0;66048.0;22001086.25
9.0;14183443.0;22001086.25
9.0;30198106.0;22001086.25
9.0;22326495.0;22001086.25
9.0;18609304.0;22001086.25
13.5;2633482.0;19381318.0
13.5;30033687.0;19381318.0
13.5;29772234.0;19381318.0
13.5;29928844.0;19381318.0
13.5;5760.0;19381318.0
13.5;28711299.0;19381318.0
13.5;4038263.0;19381318.0
13.5;29926975.0;19381318.0
18.0;19972181.0;24191805.875
18.0;23784916.0;24191805.875
18.0;30233543.0;24191805.875
18.0;28696988.0;24191805.875
18.0;30108666.0;24191805.875
18.0;4621011.0;24191805.875
18.0;30221388.0;24191805.875
18.0;25895754.0;24191805.875
22.5;20051960.0;10821513.5
22.5;2772060.0;10821513.5
22.5;3300661.0;10821513.5
22.5;30382217.0;10821513.5
22.5;1159325.0;10821513.5
22.5;10774955.0;10821513.5
22.5;13141401.0;10821513.5
22.5;4989529.0;10821513.5
27.0;18811124.0;23873835.875
27.0;20947982.0;23873835.875
27.0;30314600.0;23873835.875
27.0;30237126.0;23873835.875
27.0;30246824.0;23873835.875
27.0;25472.0;23873835.875
27.0;30233304.0;23873835.875
27.0;30174255.0;23873835.875
31.5;30302810.0;21501825.875
31.5;5448838.0;21501825.875
31.5;11188816.0;21501825.875
31.5;9661525.0;21501825.875
31.5;28479584.0;21501825.875
31.5;30152416.0;21501825.875
31.5;26537157.0;21501825.875
31.5;30243461.0;21501825.875
36.0;13951505.0;25779447.375
36.0;10565570.0;25779447.375
36.0;30315826.0;25779447.375
36.0;30332911.0;25779447.375
36.0;30379513.0;25779447.375
36.0;30162703.0;25779447.375
36.0;30182658.0;25779447.375
36.0;30344893.0;25779447.375
40.5;13430119.0;17249422.75
40.5;10001174.0;17249422.75
40.5;9258856.0;17249422.75
40.5;2749534.0;17249422.75
40.5;30453327.0;17249422.75
40.5;30517302.0;17249422.75
40.5;22578889.0;17249422.75
40.5;19006181.0;17249422.75
45.0;30217593.0;14962954.0
45.0;475716.0;14962954.0
45.0;13048840.0;14962954.0
45.0;123968.0;14962954.0
45.0;30242974.0;14962954.0
45.0;8217700.0;14962954.0
45.0;30346307.0;14962954.0
45.0;7030534.0;14962954.0
49.5;9074252.0;15977501.875
49.5;14306356.0;15977501.875
49.5;30258879.0;15977501.875
49.5;166144.0;15977501.875
49.5;17095324.0;15977501.875
49.5;30214608.0;15977501.875
49.5;13754690.0;15977501.875
49.5;12949762.0;15977501.875
54.0;3640939.0;17247244.625
54.0;30350211.0;17247244.625
54.0;736525.0;17247244.625
54.0;18155257.0;17247244.625
54.0;30231786.0;17247244.625
54.0;24518136.0;17247244.625
54.0;30343951.0;17247244.625
54.0;1152.0;17247244.625
58.5;30339309.0;15820162.25
58.5;30285221.0;15820162.25
58.5;21682216.0;15820162.25
58.5;11264032.0;15820162.25
58.5;4864.0;15820162.25
58.5;2098355.0;15820162.25
58.5;30344322.0;15820162.25
58.5;542979.0;15820162.25
63.0;30310830.0;24755923.375
63.0;30376914.0;24755923.375
63.0;645767.0;24755923.375
63.0;30244884.0;24755923.375
63.0;30311219.0;24755923.375
63.0;29235086.0;24755923.375
63.0;24086056.0;24755923.375
63.0;22836631.0;24755923.375
67.5;1585916.0;10673689.75
67.5;30383571.0;10673689.75
67.5;11409590.0;10673689.75
67.5;30252438.0;10673689.75
67.5;6586405.0;10673689.75
67.5;3162594.0;10673689.75
67.5;1994668.0;10673689.75
67.5;14336.0;10673689.75
72.0;9433144.0;11493711.5
72.0;6675177.0;11493711.5
72.0;14058165.0;11493711.5
72.0;9052274.0;11493711.5
72.0;26211509.0;11493711.5
72.0;9483536.0;11493711.5
72.0;4928.0;11493711.5
72.0;17030959.0;11493711.5
76.5;3163994.0;16886707.5
76.5;30368485.0;16886707.5
76.5;12850438.0;16886707.5
76.5;30415761.0;16886707.5
76.5;8345468.0;16886707.5
76.5;20900389.0;16886707.5
76.5;28946085.0;16886707.5
76.5;103040.0;16886707.5
